frame_id,timestamp,time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_x,angle_y,angle_z,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_angle,gps_kph,gps_kph_east,gps_kph_north,gps_kph_up,ekf_lat,ekf_lon,ekf_roll,ekf_pitch,ekf_heading
10,17080873612,15:38:7:646,-0.20703125,0.02978515625,-0.93994140625,0,0,0,-177.7642822265625,12.930908203125,141.3995361328125,17.56211,14.86076,22.59796,0,0,0,0,0,0,0,-8.46821719118945e-11,1.14357920298504e-10,-1.822686566106443,-12.38969933834644,-50.79563532904834
11,17080973863,15:38:7:747,-0.20703125,0.02978515625,-0.93994140625,0,0,0,-177.7642822265625,12.930908203125,141.3995361328125,17.56878,14.82074,22.68467,0,0,0,0,0,0,0,7.130422911860118e-11,8.770062804681924e-11,-1.82243619698468,-12.39110806486275,-50.79717553670618
12,17081073843,15:38:7:847,-0.20556640625,0.02978515625,-0.93994140625,0,0,0,-177.7642822265625,12.930908203125,141.3995361328125,17.58212,14.82741,22.79139,0,0,0,0,0,0,0,-3.865171402810309e-10,7.578691811957568e-10,-1.82195829718619,-12.38934331473595,-50.79794051789322
13,17081173835,15:38:7:947,-0.2060546875,0.02880859375,-0.9404296875,0,0,0,-177.7587890625,12.930908203125,141.3995361328125,17.55544,14.80073,22.76471,0,0,0,0,0,0,0,-6.57182911189937e-11,1.448483375515159e-09,-1.819409569408718,-12.38676662587156,-50.80517710331885
14,17081273944,15:38:8:47,-0.20751953125,0.03076171875,-0.93994140625,0,0,0,-177.7587890625,12.930908203125,141.3995361328125,17.57545,14.86743,22.69134,0,0,0,0,0,0,0,-1.97903129263095e-10,3.601266132429545e-10,-1.819303488033171,-12.38643023905494,-50.80534444295352
15,17081373993,15:38:8:147,-0.2060546875,0.029296875,-0.9404296875,0,0,0,-177.7587890625,12.930908203125,141.3995361328125,17.54877,14.86743,22.65132,0,0,0,0,0,0,0,-1.733536496380564e-10,9.445401831300633e-10,-1.818282374752254,-12.38509152197762,-50.80795016012188
16,17081473946,15:38:8:247,-0.20703125,0.0302734375,-0.93994140625,0,0,0,-177.7587890625,12.930908203125,141.3995361328125,17.50208,14.86743,22.73803,0,0,0,0,0,0,0,-2.238574011924928e-10,4.094370876962388e-10,-1.818152814601435,-12.38463304552958,-50.80810725447279
17,17081574470,15:38:8:347,-0.20703125,0.0302734375,-0.939453125,0,0,0,-177.7587890625,12.930908203125,141.3995361328125,17.56878,14.82074,22.85142,0,0,0,0,0,0,0,-2.238805555175826e-10,-7.753248582251796e-11,-1.818618761568877,-12.38487722479241,-50.80681634871966
18,17081674099,15:38:8:447,-0.20654296875,0.02978515625,-0.93994140625,0,0,0,-177.7587890625,12.930908203125,141.3995361328125,17.55544,14.82074,22.77138,0,0,0,0,0,0,0,-2.052688403495471e-10,7.33149832057245e-11,-1.818853976208419,-12.38490539932274,-50.80615723546475
19,17081774313,15:38:8:547,-0.20654296875,0.0283203125,-0.9404296875,0,0,0,-177.7587890625,12.930908203125,141.3995361328125,17.51542,14.82741,23.04485,0,0,0,0,0,0,0,5.800447945476706e-10,9.027740015235856e-10,-1.817204698967273,-12.3846740266646,-50.81035438670972
20,17081874887,15:38:8:648,-0.20556640625,0.02880859375,-0.94091796875,0,0,0,-177.7587890625,12.930908203125,141.3995361328125,17.48874,14.81407,22.95814,0,0,0,0,0,0,0,4.618682974523816e-10,1.933178328168048e-09,-1.814724059638089,-12.38310649825008,-50.81579463238364
21,17081974311,15:38:8:747,-0.20751953125,0.02978515625,-0.93994140625,0,0,0,-177.7587890625,12.930908203125,141.3995361328125,17.51542,14.83408,22.79139,0,0,0,0,0,0,0,7.595040637583203e-10,1.136200080619575e-09,-1.812719185673279,-12.38273596048761,-50.82005667042572
22,17082074719,15:38:8:848,-0.20654296875,0.029296875,-0.94091796875,0,0,0,-177.7587890625,12.930908203125,141.3995361328125,17.54877,14.81407,22.70468,0,0,0,0,0,0,0,7.51629126606218e-10,1.340560918507015e-09,-1.810538007450518,-12.38211697459408,-50.82417868958983
